pga_stat_name,pga_stat_id,pga_tourn_id,pga_season_id,RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,%,GREENS_HIT,TOTAL_HOLES,RELATIVE_TO_PAR
GIR_Percentage_-_75-100_yards,078,t060,2017,31,31,David Lingmerth,79,84.81,67,79,-0.39
GIR_Percentage_-_75-100_yards,078,t060,2017,32,32,J.J. Henry,92,84.62,55,65,-0.29
GIR_Percentage_-_75-100_yards,078,t060,2017,33,34,Webb Simpson,102,84.51,60,71,-0.30
GIR_Percentage_-_75-100_yards,078,t060,2017,34,35,D.A. Points,68,84.48,49,58,-0.29
GIR_Percentage_-_75-100_yards,078,t060,2017,35,36,Gary Woodland,94,84.44,38,45,-0.34
GIR_Percentage_-_75-100_yards,078,t060,2017,36,37,Trey Mullinax,88,84.34,70,83,-0.21
GIR_Percentage_-_75-100_yards,078,t060,2017,T37,T38,Alex Cejka,85,84.13,53,63,-0.26
GIR_Percentage_-_75-100_yards,078,t060,2017,T37,T38,Jason Bohn,75,84.13,53,63,-0.19
GIR_Percentage_-_75-100_yards,078,t060,2017,T37,T38,Ricky Barnes,100,84.13,53,63,-0.38
GIR_Percentage_-_75-100_yards,078,t060,2017,40,41,Charles Howell III,86,84.06,58,69,-0.24
GIR_Percentage_-_75-100_yards,078,t060,2017,41,42,Lucas Glover,93,83.91,73,87,-0.25
GIR_Percentage_-_75-100_yards,078,t060,2017,T42,T43,Gonzalo Fernandez-Castaño,63,83.87,26,31,-0.46
GIR_Percentage_-_75-100_yards,078,t060,2017,T42,T43,Jimmy Walker,68,83.87,52,62,-0.27
GIR_Percentage_-_75-100_yards,078,t060,2017,T44,T45,Nicholas Lindheim,58,83.78,31,37,-0.26
GIR_Percentage_-_75-100_yards,078,t060,2017,T44,T45,Richy Werenski,81,83.78,31,37,-0.32
GIR_Percentage_-_75-100_yards,078,t060,2017,T46,T47,Billy Hurley III,80,83.72,72,86,-0.39
GIR_Percentage_-_75-100_yards,078,t060,2017,T46,T47,Sebastián Muñoz,51,83.72,36,43,-0.42
GIR_Percentage_-_75-100_yards,078,t060,2017,48,50,Patrick Reed,107,83.70,77,92,-0.39
GIR_Percentage_-_75-100_yards,078,t060,2017,49,49,K.J. Choi,72,83.64,46,55,-0.41
GIR_Percentage_-_75-100_yards,078,t060,2017,T50,T51,Chad Campbell,97,83.33,55,66,-0.40
GIR_Percentage_-_75-100_yards,078,t060,2017,T50,T51,Vaughn Taylor,90,83.33,85,102,-0.36
GIR_Percentage_-_75-100_yards,078,t060,2017,52,53,Zac Blair,105,83.15,74,89,-0.30
GIR_Percentage_-_75-100_yards,078,t060,2017,53,54,Matt Every,76,83.10,59,71,-0.37
GIR_Percentage_-_75-100_yards,078,t060,2017,54,55,Geoff Ogilvy,80,83.08,54,65,-0.28
GIR_Percentage_-_75-100_yards,078,t060,2017,T55,58,Paul Casey,94,83.02,44,53,-0.34
GIR_Percentage_-_75-100_yards,078,t060,2017,T55,56,Spencer Levin,89,83.02,44,53,-0.36
GIR_Percentage_-_75-100_yards,078,t060,2017,57,80,Hideki Matsuyama,83,82.98,39,47,-0.28
GIR_Percentage_-_75-100_yards,078,t060,2017,58,57,Kelly Kraft,75,82.81,53,64,-0.34
GIR_Percentage_-_75-100_yards,078,t060,2017,59,63,Justin Thomas,86,82.72,67,81,-0.37
GIR_Percentage_-_75-100_yards,078,t060,2017,T60,T59,Bryce Molder,74,82.67,62,75,-0.35
GIR_Percentage_-_75-100_yards,078,t060,2017,T60,T59,Smylie Kaufman,76,82.67,62,75,-0.45
GIR_Percentage_-_75-100_yards,078,t060,2017,62,61,Ollie Schniederjans,92,82.61,76,92,-0.28
